1) 0.0	: 19.64969602801709
236) 109.3173139807177	: 14.855137494751357
237) 109.78249404021012	: 14.164595318310088
238) 110.24767409970254	: 16.3563355832951
239) 110.71285415919495	: 16.458515910934942
240) 111.17803421868736	: 13.855023414505926
241) 111.64321427817978	: 11.704833099176359
242) 112.1083943376722	: 14.419220965020179
243) 112.5735743971646	: 14.77157408405444
244) 113.03875445665703	: 14.631614228843247
245) 113.50393451614944	: 14.999461696453036
246) 113.96911457564185	: 13.569329379366721
247) 114.43429463513428	: 14.308734481448989
248) 114.89947469462669	: 14.306135830237318
249) 115.3646547541191	: 12.801861996109972
250) 115.82983481361153	: 14.295035585102983
251) 116.29501487310394	: 13.449749026033924
252) 116.76019493259635	: 14.819283274676746
253) 117.22537499208877	: 15.73430033218077
254) 117.69055505158119	: 15.159758961299863
255) 118.1557351110736	: 16.376346314468186
256) 118.62091517056602	: 16.608849350051823
257) 119.08609523005843	: 14.98833015737247
258) 119.55127528955084	: 16.20299665261686
259) 120.01645534904327	: 16.397181271356416
260) 120.48163540853568	: 16.19127411734178
261) 120.94681546802809	: 14.724364662573738
262) 121.41199552752052	: 15.92616324398963
263) 121.87717558701293	: 14.807701390247104
264) 122.34235564650534	: 14.487161672256104
265) 122.80753570599776	: 14.036304664380499
266) 123.27271576549018	: 13.269435591899736
267) 123.73789582498259	: 13.478099434577654
268) 124.20307588447501	: 14.325364978062785
269) 124.66825594396742	: 14.366780278364118
270) 125.13343600345983	: 15.001062146551359
271) 125.59861606295226	: 15.076737184227785
272) 126.06379612244467	: 13.075851541772181
273) 126.52897618193708	: 10.51105559689218
274) 126.99415624142951	: 15.908724826472348
275) 127.45933630092192	: 16.030276009478804
276) 127.92451636041433	: 13.852381474067267
277) 128.38969641990676	: 15.140177124874523
278) 128.85487647939917	: 14.353351378153102
279) 129.32005653889158	: 15.764294184457134
280) 129.785236598384	: 15.567330683938952
281) 130.2504166578764	: 16.30920647982537
282) 130.71559671736884	: 15.486003794506383
283) 131.18077677686125	: 15.87087665558379
284) 131.64595683635366	: 15.323809981398663
285) 132.11113689584607	: 15.469498937073306
286) 132.57631695533848	: 14.877017609917193
287) 133.0414970148309	: 15.442223415465438
288) 133.50667707432333	: 14.261625193965989
289) 133.97185713381575	: 15.173059306781614
290) 134.43703719330816	: 15.176938804453616
291) 134.90221725280057	: 13.33576797843897
292) 135.36739731229298	: 13.551687835726053
293) 135.8325773717854	: 15.211897053484162
294) 136.2977574312778	: 15.177674097040711
295) 136.76293749077024	: 16.21053045998744
296) 137.22811755026265	: 15.851344350959177
297) 137.69329760975506	: 15.679790681025347
298) 138.15847766924747	: 14.943886370289764
299) 138.6236577287399	: 13.606848152454006
300) 139.0888377882323	: 13.763122816167186
301) 139.55401784772474	: 15.284238861621429
302) 140.01919790721715	: 14.550766800733708
